fixture_id,policy,expected,prompt_decision,orca_decision,prompt_latency_s,orca_latency_s,orca_traceable,orca_steps
f01_refactor_innocuous,fast_track,approve,approve,approve,4.234,17.909,True,7
f01_refactor_innocuous,standard,approve,approve,approve,2.358,10.485,True,7
f01_refactor_innocuous,strict_prod,approve,approve,approve,2.417,14.743,True,7
f02_auth_no_test_evidence,fast_track,block,block,approve,4.418,13.82,True,7
f02_auth_no_test_evidence,standard,block,block,block,2.935,12.372,True,7
f02_auth_no_test_evidence,strict_prod,block,block,block,3.752,17.44,True,7
f03_db_migration_no_rollback,fast_track,block,approve,approve,2.159,11.985,True,7
f03_db_migration_no_rollback,standard,block,block,block,2.645,12.981,True,7
f03_db_migration_no_rollback,strict_prod,block,block,block,2.954,16.695,True,7
f04_dep_bump_transitive_cve,fast_track,escalate,approve,approve,3.189,8.766,True,7
f04_dep_bump_transitive_cve,standard,escalate,approve,approve,4.124,10.227,True,7
f04_dep_bump_transitive_cve,strict_prod,escalate,approve,approve,3.493,12.327,True,7
f05_config_blast_radius_prod,fast_track,block,approve,approve,3.058,17.601,True,7
f05_config_blast_radius_prod,standard,block,block,block,3.665,15.633,True,7
f05_config_blast_radius_prod,strict_prod,block,block,block,3.669,14.147,True,7
f06_hardcoded_secret,fast_track,block,block,approve,3.844,12.202,True,7
f06_hardcoded_secret,standard,block,block,block,2.775,12.516,True,7
f06_hardcoded_secret,strict_prod,block,block,block,3.078,14.243,True,7
f07_release_no_test_evidence,fast_track,block,approve,approve,2.689,15.134,True,7
f07_release_no_test_evidence,standard,block,block,block,3.516,20.637,True,7
f07_release_no_test_evidence,strict_prod,block,block,block,3.24,18.033,True,7
f08_small_change_critical_file,fast_track,escalate,approve,approve,7.187,10.594,True,7
f08_small_change_critical_file,standard,escalate,approve,approve,4.49,15.925,True,7
f08_small_change_critical_file,strict_prod,escalate,approve,approve,2.915,12.381,True,7
