fixture_id,policy,expected,prompt_decision,orca_decision,prompt_latency_s,orca_latency_s,orca_traceable,orca_steps
f01_refactor_innocuous,fast_track,approve,approve,approve,5.19,23.667,True,7
f01_refactor_innocuous,standard,approve,approve,approve,3.541,14.156,True,7
f01_refactor_innocuous,strict_prod,approve,approve,approve,3.656,17.697,True,7
f02_auth_no_test_evidence,fast_track,block,block,escalate,4.784,15.895,True,7
f02_auth_no_test_evidence,standard,block,block,block,6.537,19.744,True,7
f02_auth_no_test_evidence,strict_prod,block,block,block,5.223,22.416,True,7
f03_db_migration_no_rollback,fast_track,block,approve,escalate,2.831,20.845,True,7
f03_db_migration_no_rollback,standard,block,block,block,4.095,16.57,True,7
f03_db_migration_no_rollback,strict_prod,block,block,block,4.047,14.9,True,7
f04_dep_bump_transitive_cve,fast_track,escalate,approve,escalate,5.805,10.14,True,7
f04_dep_bump_transitive_cve,standard,escalate,approve,escalate,4.833,13.239,True,7
f04_dep_bump_transitive_cve,strict_prod,escalate,approve,escalate,4.262,12.477,True,7
f05_config_blast_radius_prod,fast_track,block,approve,approve,4.823,15.062,True,7
f05_config_blast_radius_prod,standard,block,block,block,4.032,17.734,True,7
f05_config_blast_radius_prod,strict_prod,block,block,block,4.984,14.869,True,7
f06_hardcoded_secret,fast_track,block,block,escalate,5.111,14.029,True,7
f06_hardcoded_secret,standard,block,block,block,4.826,17.085,True,7
f06_hardcoded_secret,strict_prod,block,block,block,4.523,15.55,True,7
f07_release_no_test_evidence,fast_track,block,approve,approve,3.404,21.821,True,7
f07_release_no_test_evidence,standard,block,block,block,4.575,25.472,True,7
f07_release_no_test_evidence,strict_prod,block,block,block,4.82,23.801,True,7
f08_small_change_critical_file,fast_track,escalate,approve,escalate,4.949,17.363,True,7
f08_small_change_critical_file,standard,escalate,approve,escalate,4.114,17.566,True,7
f08_small_change_critical_file,strict_prod,escalate,approve,escalate,3.058,19.315,True,7
