fixture_id,policy,expected,prompt_decision,orca_decision,prompt_latency_s,orca_latency_s,orca_traceable,orca_steps
f01_refactor_innocuous,fast_track,approve,approve,"error: Step 'summarize_change' failed: Capability 'text.content.summarize' execution failed. [capability=text.content.summarize] (cause: Binding execution failed for capability 'text.content.summarize' after 1 attempt(s). [capability=text.content.summarize] (cause: Protocol routing failed for protocol 'openapi'. (cause: Service 'text_openai_chat' returned HTTP 400. Body preview: { ""error"": { ""message"": ""Invalid value for 'content': expected a string, got null."", ""type"": ""invalid_request_error"", ""param"": ""messages.[1].content"", ""code"": null } } [capability=text.content.summarize]))) [skill=code.change-approval-gate, step=summarize_change]",4.347,0,False,0
f01_refactor_innocuous,standard,approve,approve,"error: Step 'summarize_change' failed: Capability 'text.content.summarize' execution failed. [capability=text.content.summarize] (cause: Binding execution failed for capability 'text.content.summarize' after 1 attempt(s). [capability=text.content.summarize] (cause: Protocol routing failed for protocol 'openapi'. (cause: Service 'text_openai_chat' returned HTTP 400. Body preview: { ""error"": { ""message"": ""Invalid value for 'content': expected a string, got null."", ""type"": ""invalid_request_error"", ""param"": ""messages.[1].content"", ""code"": null } } [capability=text.content.summarize]))) [skill=code.change-approval-gate, step=summarize_change]",2.592,0,False,0
f01_refactor_innocuous,strict_prod,approve,approve,"error: Step 'summarize_change' failed: Capability 'text.content.summarize' execution failed. [capability=text.content.summarize] (cause: Binding execution failed for capability 'text.content.summarize' after 1 attempt(s). [capability=text.content.summarize] (cause: Protocol routing failed for protocol 'openapi'. (cause: Service 'text_openai_chat' returned HTTP 400. Body preview: { ""error"": { ""message"": ""Invalid value for 'content': expected a string, got null."", ""type"": ""invalid_request_error"", ""param"": ""messages.[1].content"", ""code"": null } } [capability=text.content.summarize]))) [skill=code.change-approval-gate, step=summarize_change]",2.631,0,False,0
f02_auth_no_test_evidence,fast_track,block,block,"error: Step 'summarize_change' failed: Capability 'text.content.summarize' execution failed. [capability=text.content.summarize] (cause: Binding execution failed for capability 'text.content.summarize' after 1 attempt(s). [capability=text.content.summarize] (cause: Protocol routing failed for protocol 'openapi'. (cause: Service 'text_openai_chat' returned HTTP 400. Body preview: { ""error"": { ""message"": ""Invalid value for 'content': expected a string, got null."", ""type"": ""invalid_request_error"", ""param"": ""messages.[1].content"", ""code"": null } } [capability=text.content.summarize]))) [skill=code.change-approval-gate, step=summarize_change]",3.267,0,False,0
f02_auth_no_test_evidence,standard,block,block,"error: Step 'summarize_change' failed: Capability 'text.content.summarize' execution failed. [capability=text.content.summarize] (cause: Binding execution failed for capability 'text.content.summarize' after 1 attempt(s). [capability=text.content.summarize] (cause: Protocol routing failed for protocol 'openapi'. (cause: Service 'text_openai_chat' returned HTTP 400. Body preview: { ""error"": { ""message"": ""Invalid value for 'content': expected a string, got null."", ""type"": ""invalid_request_error"", ""param"": ""messages.[1].content"", ""code"": null } } [capability=text.content.summarize]))) [skill=code.change-approval-gate, step=summarize_change]",4.815,0,False,0
f02_auth_no_test_evidence,strict_prod,block,block,"error: Step 'summarize_change' failed: Capability 'text.content.summarize' execution failed. [capability=text.content.summarize] (cause: No executable binding candidates for capability 'text.content.summarize'. [capability=text.content.summarize]) [skill=code.change-approval-gate, step=summarize_change]",3.239,0,False,0
f03_db_migration_no_rollback,fast_track,block,approve,"error: Step 'summarize_change' failed: Capability 'text.content.summarize' execution failed. [capability=text.content.summarize] (cause: No executable binding candidates for capability 'text.content.summarize'. [capability=text.content.summarize]) [skill=code.change-approval-gate, step=summarize_change]",2.876,0,False,0
f03_db_migration_no_rollback,standard,block,block,"error: Step 'summarize_change' failed: Capability 'text.content.summarize' execution failed. [capability=text.content.summarize] (cause: No executable binding candidates for capability 'text.content.summarize'. [capability=text.content.summarize]) [skill=code.change-approval-gate, step=summarize_change]",3.565,0,False,0
f03_db_migration_no_rollback,strict_prod,block,block,"error: Step 'summarize_change' failed: Capability 'text.content.summarize' execution failed. [capability=text.content.summarize] (cause: No executable binding candidates for capability 'text.content.summarize'. [capability=text.content.summarize]) [skill=code.change-approval-gate, step=summarize_change]",3.417,0,False,0
f04_dep_bump_transitive_cve,fast_track,escalate,approve,"error: Step 'summarize_change' failed: Capability 'text.content.summarize' execution failed. [capability=text.content.summarize] (cause: No executable binding candidates for capability 'text.content.summarize'. [capability=text.content.summarize]) [skill=code.change-approval-gate, step=summarize_change]",3.273,0,False,0
f04_dep_bump_transitive_cve,standard,escalate,approve,"error: Step 'summarize_change' failed: Capability 'text.content.summarize' execution failed. [capability=text.content.summarize] (cause: No executable binding candidates for capability 'text.content.summarize'. [capability=text.content.summarize]) [skill=code.change-approval-gate, step=summarize_change]",2.777,0,False,0
f04_dep_bump_transitive_cve,strict_prod,escalate,approve,"error: Step 'summarize_change' failed: Capability 'text.content.summarize' execution failed. [capability=text.content.summarize] (cause: No executable binding candidates for capability 'text.content.summarize'. [capability=text.content.summarize]) [skill=code.change-approval-gate, step=summarize_change]",5.498,0,False,0
f05_config_blast_radius_prod,fast_track,block,approve,"error: Step 'summarize_change' failed: Capability 'text.content.summarize' execution failed. [capability=text.content.summarize] (cause: No executable binding candidates for capability 'text.content.summarize'. [capability=text.content.summarize]) [skill=code.change-approval-gate, step=summarize_change]",3.627,0,False,0
f05_config_blast_radius_prod,standard,block,approve,"error: Step 'summarize_change' failed: Capability 'text.content.summarize' execution failed. [capability=text.content.summarize] (cause: Binding execution failed for capability 'text.content.summarize' after 1 attempt(s). [capability=text.content.summarize] (cause: Protocol routing failed for protocol 'openapi'. (cause: Service 'text_openai_chat' returned HTTP 400. Body preview: { ""error"": { ""message"": ""Invalid value for 'content': expected a string, got null."", ""type"": ""invalid_request_error"", ""param"": ""messages.[1].content"", ""code"": null } } [capability=text.content.summarize]))) [skill=code.change-approval-gate, step=summarize_change]",3.242,0,False,0
f05_config_blast_radius_prod,strict_prod,block,block,"error: Step 'summarize_change' failed: Capability 'text.content.summarize' execution failed. [capability=text.content.summarize] (cause: No executable binding candidates for capability 'text.content.summarize'. [capability=text.content.summarize]) [skill=code.change-approval-gate, step=summarize_change]",3.404,0,False,0
f06_hardcoded_secret,fast_track,block,block,"error: Step 'summarize_change' failed: Capability 'text.content.summarize' execution failed. [capability=text.content.summarize] (cause: No executable binding candidates for capability 'text.content.summarize'. [capability=text.content.summarize]) [skill=code.change-approval-gate, step=summarize_change]",3.404,0,False,0
f06_hardcoded_secret,standard,block,block,"error: Step 'summarize_change' failed: Capability 'text.content.summarize' execution failed. [capability=text.content.summarize] (cause: No executable binding candidates for capability 'text.content.summarize'. [capability=text.content.summarize]) [skill=code.change-approval-gate, step=summarize_change]",3.819,0,False,0
f06_hardcoded_secret,strict_prod,block,block,"error: Step 'summarize_change' failed: Capability 'text.content.summarize' execution failed. [capability=text.content.summarize] (cause: No executable binding candidates for capability 'text.content.summarize'. [capability=text.content.summarize]) [skill=code.change-approval-gate, step=summarize_change]",3.218,0,False,0
f07_release_no_test_evidence,fast_track,block,approve,"error: Step 'summarize_change' failed: Capability 'text.content.summarize' execution failed. [capability=text.content.summarize] (cause: No executable binding candidates for capability 'text.content.summarize'. [capability=text.content.summarize]) [skill=code.change-approval-gate, step=summarize_change]",2.927,0,False,0
f07_release_no_test_evidence,standard,block,approve,"error: Step 'summarize_change' failed: Capability 'text.content.summarize' execution failed. [capability=text.content.summarize] (cause: No executable binding candidates for capability 'text.content.summarize'. [capability=text.content.summarize]) [skill=code.change-approval-gate, step=summarize_change]",2.457,0,False,0
f07_release_no_test_evidence,strict_prod,block,block,"error: Step 'summarize_change' failed: Capability 'text.content.summarize' execution failed. [capability=text.content.summarize] (cause: No executable binding candidates for capability 'text.content.summarize'. [capability=text.content.summarize]) [skill=code.change-approval-gate, step=summarize_change]",2.765,0,False,0
f08_small_change_critical_file,fast_track,escalate,approve,"error: Step 'summarize_change' failed: Capability 'text.content.summarize' execution failed. [capability=text.content.summarize] (cause: No executable binding candidates for capability 'text.content.summarize'. [capability=text.content.summarize]) [skill=code.change-approval-gate, step=summarize_change]",2.351,0,False,0
f08_small_change_critical_file,standard,escalate,approve,"error: Step 'summarize_change' failed: Capability 'text.content.summarize' execution failed. [capability=text.content.summarize] (cause: No executable binding candidates for capability 'text.content.summarize'. [capability=text.content.summarize]) [skill=code.change-approval-gate, step=summarize_change]",2.356,0,False,0
